game_id,date,home_team,away_team,matchup,home_won,home_score,away_score,margin,total_points,h_wins,h_losses,h_win_pct,h_l10_wins,h_l10_pct,h_l5_wins,h_l5_pct,h_streak,h_home_win_pct,h_away_win_pct,h_avg_pts_scored,h_avg_pts_allowed,h_net_rating_proxy,h_l10_avg_scored,h_l10_avg_allowed,h_l10_net,h_rest_days,h_b2b,h_three_in_four,h_close_win_pct,h_blowout_wins,h_blowout_losses,h_avg_margin,h_games_played,a_wins,a_losses,a_win_pct,a_l10_wins,a_l10_pct,a_l5_wins,a_l5_pct,a_streak,a_home_win_pct,a_away_win_pct,a_avg_pts_scored,a_avg_pts_allowed,a_net_rating_proxy,a_l10_avg_scored,a_l10_avg_allowed,a_l10_net,a_rest_days,a_b2b,a_three_in_four,a_close_win_pct,a_blowout_wins,a_blowout_losses,a_avg_margin,a_games_played,diff_win_pct,diff_l10_pct,diff_net_rating,diff_l10_net,diff_streak,diff_rest_days,diff_close_win_pct,home_b2b,away_b2b,both_b2b,home_3in4,away_3in4,h_avg_height_inches,h_max_height_inches,h_tallest_shortest_gap,h_total_blocks,h_avg_age,h_roster_size_played,a_avg_height_inches,a_max_height_inches,a_tallest_shortest_gap,a_total_blocks,a_avg_age,a_roster_size_played,diff_avg_height,diff_blocks,diff_avg_age,h_opp_is_good,a_opp_is_good,h_opp_strength,a_opp_strength,diff_opp_strength,h_win_rate_vs_good,h_win_rate_vs_bad,a_win_rate_vs_good,a_win_rate_vs_bad,h_margin_vs_good,h_margin_vs_bad,a_margin_vs_good,a_margin_vs_bad,diff_wr_vs_good,diff_wr_vs_bad,diff_margin_vs_good,diff_margin_vs_bad,h_form_momentum,a_form_momentum,diff_form_momentum,h_l5_momentum,a_l5_momentum,diff_l5_momentum,h_scoring_trend,a_scoring_trend,h_defense_trend,a_defense_trend,diff_scoring_trend,diff_defense_trend,h_blowout_rate,a_blowout_rate,h_blowout_loss_rate,a_blowout_loss_rate,diff_blowout_rate,h_home_away_split,a_home_away_split,h_venue_edge
18447431,2026-01-20,PHI,PHX,PHX @ PHI,0,110,116,-6,226,23,18,0.561,6,0.6,2,0.4,1,0.5,0.632,116.7,115.4,1.3,117.6,112.5,5.1,0,1,0,0.467,5,3,1.3,41,26,17,0.605,7,0.7,3,0.6,2,0.737,0.5,114.7,111.9,2.8,113.3,105.6,7.7,0,1,0,0.429,9,7,2.8,43,-0.044,-0.1,-1.5,-2.6,-1,0,0.038,1,1,1,0,0,78.5,83,9,6,0.0,10,77.8,85,12,2,0.0,10,0.7,4,0.0,1,1,0.605,0.561,0.04399999999999993,0.3181818181818182,0.8333333333333334,0.4166666666666667,0.8333333333333334,-3.9545454545454546,7.833333333333333,-2.375,9.61111111111111,-0.09848484848484851,0.0,-1.5795454545454546,-1.7777777777777777,3.8,4.9,-1.1000000000000005,-0.16100000000000003,-0.0050000000000000044,-0.15600000000000003,0.8999999999999915,-1.4000000000000057,2.9000000000000057,6.300000000000011,2.299999999999997,-3.4000000000000057,0.12195121951219512,0.20930232558139536,0.07317073170731707,0.16279069767441862,-0.08735110606920024,-0.132,0.237,0.0
18447432,2026-01-20,CHI,LAC,LAC @ CHI,1,138,110,28,248,20,22,0.476,5,0.5,3,0.6,1,0.591,0.35,117.4,120.3,-2.8,114.7,113.3,1.4,1,0,0,0.667,4,6,-2.8,42,19,23,0.452,8,0.8,5,1.0,6,0.55,0.364,112.4,113.2,-0.8,113.3,110.6,2.7,0,1,0,0.333,9,10,-0.8,42,0.024,-0.3,-2.0,-1.3,-5,1,0.334,0,1,0,0,0,77.7,81,8,11,0.0,9,79.2,85,10,5,0.0,13,-1.5,6,0.0,0,0,0.452,0.476,-0.023999999999999966,0.5,0.42857142857142855,0.375,0.5882352941176471,-3.75,-2.2857142857142856,-3.6666666666666665,4.470588235294118,0.125,-0.15966386554621853,-0.08333333333333348,-6.756302521008403,4.199999999999999,3.5,0.6999999999999993,0.124,0.548,-0.42400000000000004,-2.700000000000003,0.8999999999999915,7.0,2.6000000000000085,-3.5999999999999943,4.3999999999999915,0.09523809523809523,0.21428571428571427,0.14285714285714285,0.23809523809523808,-0.11904761904761904,0.241,0.18600000000000005,0.22699999999999998
18447433,2026-01-20,HOU,SAS,SAS @ HOU,1,111,106,5,217,25,14,0.641,5,0.5,3,0.6,2,0.824,0.5,116.9,110.3,6.6,106.8,106.7,0.1,1,0,0,0.455,13,2,6.6,39,30,14,0.682,6,0.6,3,0.6,3,0.762,0.609,117.8,112.9,4.9,111.4,107.7,3.7,0,1,0,0.6,8,1,4.9,44,-0.041,-0.1,1.7,-3.6,-1,1,-0.145,0,1,0,0,0,80.2,83,9,9,0.0,9,79.7,88,13,5,0.0,9,0.5,4,0.0,1,1,0.682,0.641,0.041000000000000036,0.7647058823529411,0.5714285714285714,0.625,0.7368421052631579,8.352941176470589,5.761904761904762,2.3333333333333335,6.684210526315789,0.13970588235294112,-0.16541353383458646,6.019607843137255,-0.9223057644110275,-6.5,-1.2000000000000002,-5.3,-0.041000000000000036,-0.08200000000000007,0.041000000000000036,-10.100000000000009,-6.3999999999999915,3.5999999999999943,5.200000000000003,-3.700000000000017,-1.6000000000000085,0.3333333333333333,0.18181818181818182,0.05128205128205128,0.022727272727272728,0.1515151515151515,0.32399999999999995,0.15300000000000002,0.21499999999999997
18447434,2026-01-20,UTA,MIN,MIN @ UTA,1,127,122,5,249,14,29,0.326,2,0.2,1,0.2,-4,0.429,0.227,119.1,127.5,-8.4,116.8,129.8,-13.0,0,1,0,0.5,2,14,-8.4,43,27,16,0.628,6,0.6,2,0.4,-2,0.714,0.545,120.0,114.7,5.3,122.6,116.3,6.3,2,0,0,0.5,9,4,5.3,43,-0.302,-0.4,-13.7,-19.3,-2,-2,0.0,1,0,0,0,0,79.6,83,7,4,0.0,9,79.2,85,12,5,0.0,9,0.4,-1,0.0,1,0,0.628,0.326,0.302,0.21739130434782608,0.42105263157894735,0.45,0.8095238095238095,-10.478260869565217,-7.421052631578948,0.2,11.380952380952381,-0.23260869565217393,-0.3884711779448622,-10.678260869565216,-18.80200501253133,-4.6,1.0,-5.6,-0.126,-0.22799999999999998,0.10199999999999998,-2.299999999999997,2.5999999999999943,-2.3000000000000114,-1.5999999999999943,-4.8999999999999915,-0.700000000000017,0.046511627906976744,0.20930232558139536,0.32558139534883723,0.09302325581395349,-0.16279069767441862,0.20199999999999999,0.16899999999999993,-0.11600000000000005
18447435,2026-01-20,DEN,LAL,LAL @ DEN,0,107,115,-8,222,29,14,0.674,6,0.6,4,0.8,-1,0.632,0.708,121.7,117.0,4.7,110.5,113.8,-3.3,1,0,0,0.533,8,3,4.7,43,25,15,0.625,5,0.5,2,0.4,1,0.632,0.619,116.5,116.7,-0.2,114.7,115.0,-0.3,1,0,0,0.875,6,11,-0.1,40,0.049,0.1,4.9,-3.0,-2,0,-0.342,0,0,0,0,0,78.0,82,8,7,0.0,8,79.6,84,10,2,0.0,10,-1.6,5,0.0,1,1,0.625,0.674,-0.049000000000000044,0.6666666666666666,0.7142857142857143,0.5789473684210527,0.65,3.6666666666666665,6.238095238095238,-4.315789473684211,2.9,0.08771929824561397,0.06428571428571428,7.982456140350877,3.3380952380952382,-8.0,-0.09999999999999998,-7.9,0.126,-0.22499999999999998,0.351,-11.200000000000003,-1.7999999999999972,3.200000000000003,1.7000000000000028,-9.400000000000006,1.5,0.18604651162790697,0.15,0.06976744186046512,0.275,0.03604651162790698,-0.07599999999999996,0.013000000000000012,0.013000000000000012
18447436,2026-01-20,GSW,TOR,TOR @ GSW,0,127,145,-18,272,24,19,0.558,7,0.7,4,0.8,4,0.739,0.35,116.6,113.3,3.3,120.3,112.6,7.7,0,1,0,0.333,10,4,3.3,43,25,19,0.568,5,0.5,2,0.4,-2,0.565,0.571,113.5,112.2,1.2,111.2,110.6,0.6,1,0,0,0.667,7,9,1.2,44,-0.01,0.2,2.1,7.1,6,-1,-0.334,1,0,0,0,0,76.9,84,10,1,0.0,13,78.0,81,8,3,0.0,10,-1.1,-2,0.0,1,1,0.568,0.558,0.009999999999999898,0.42857142857142855,0.6666666666666666,0.48,0.6666666666666666,-2.4761904761904763,8.857142857142858,-0.56,2.7222222222222223,-0.051428571428571435,0.0,-1.9161904761904762,6.134920634920635,4.4,-0.6,5.0,0.242,-0.16799999999999993,0.4099999999999999,3.700000000000003,-2.299999999999997,0.7000000000000028,1.6000000000000085,6.0,-0.9000000000000057,0.23255813953488372,0.1590909090909091,0.09302325581395349,0.20454545454545456,0.07346723044397463,0.389,-0.006000000000000005,0.16800000000000004
18447437,2026-01-20,SAC,MIA,MIA @ SAC,0,117,130,-13,247,12,31,0.279,4,0.4,4,0.8,-1,0.391,0.15,110.6,120.5,-9.9,109.2,114.4,-5.2,1,0,0,0.6,1,11,-9.9,43,22,21,0.512,4,0.4,2,0.4,-1,0.682,0.333,119.3,118.3,1.0,113.8,120.7,-6.9,0,1,0,0.636,9,5,1.0,43,-0.233,0.0,-10.9,1.7,0,1,-0.036,0,1,0,0,0,78.1,85,12,4,0.0,10,77.6,82,10,2,0.0,10,0.5,2,0.0,1,0,0.512,0.279,0.23299999999999998,0.3333333333333333,0.16666666666666666,0.45161290322580644,0.7272727272727273,-9.933333333333334,-10.25,-0.4838709677419355,5.7272727272727275,-0.11827956989247312,-0.5606060606060607,-9.449462365591398,-15.977272727272727,4.7,-7.9,12.600000000000001,0.521,-0.11199999999999999,0.633,-1.3999999999999915,-5.5,6.099999999999994,-2.4000000000000057,4.1000000000000085,8.5,0.023255813953488372,0.20930232558139536,0.2558139534883721,0.11627906976744186,-0.18604651162790697,0.24100000000000002,0.34900000000000003,0.057999999999999996
18447444,2026-01-21,SAC,TOR,TOR @ SAC,0,109,122,-13,231,12,32,0.273,4,0.4,3,0.6,-2,0.375,0.15,110.8,120.7,-10.0,110.3,115.4,-5.1,0,1,0,0.6,1,11,-10.0,44,26,19,0.578,6,0.6,2,0.4,1,0.565,0.591,114.2,112.6,1.6,115.4,112.7,2.7,0,1,0,0.667,8,9,1.6,45,-0.305,-0.2,-11.6,-7.8,-3,0,-0.067,1,1,1,0,0,78.0,85,12,6,0.0,9,78.0,81,8,3,0.0,9,0.0,3,0.0,1,0,0.578,0.273,0.30499999999999994,0.3225806451612903,0.16666666666666666,0.5,0.6666666666666666,-10.03225806451613,-10.25,0.15384615384615385,2.7222222222222223,-0.1774193548387097,-0.5,-10.186104218362283,-12.972222222222221,4.9,1.1,3.8000000000000003,0.32699999999999996,-0.17799999999999994,0.5049999999999999,-0.5,1.2000000000000028,5.299999999999997,-0.10000000000000853,-1.7000000000000028,5.400000000000006,0.022727272727272728,0.17777777777777778,0.25,0.2,-0.15505050505050505,0.225,-0.026000000000000023,-0.21599999999999997
18447443,2026-01-21,MIL,OKC,OKC @ MIL,0,102,122,-20,224,18,24,0.429,5,0.5,2,0.4,1,0.474,0.391,112.4,115.6,-3.2,111.4,114.3,-2.9,1,0,0,0.462,5,7,-3.2,42,35,8,0.814,7,0.7,4,0.8,1,0.864,0.762,121.3,107.6,13.7,118.9,109.4,9.5,1,0,0,0.375,21,3,13.7,43,-0.385,-0.2,-16.9,-12.4,0,0,0.087,0,0,0,0,0,78.6,83,9,0,0.0,10,78.3,85,10,3,0.0,9,0.3,-3,0.0,1,0,0.814,0.429,0.38499999999999995,0.3333333333333333,0.5294117647058824,0.6666666666666666,0.9523809523809523,-4.416666666666667,-2.4705882352941178,12.380952380952381,15.476190476190476,-0.3333333333333333,-0.42296918767506997,-16.797619047619047,-17.946778711484594,0.30000000000000027,-4.199999999999999,4.5,-0.02899999999999997,-0.013999999999999901,-0.015000000000000069,-1.0,-2.3999999999999915,1.2999999999999972,-1.8000000000000114,1.3999999999999915,3.1000000000000085,0.11904761904761904,0.4883720930232558,0.16666666666666666,0.06976744186046512,-0.3693244739756367,0.08299999999999996,0.10199999999999998,-0.28800000000000003
18447442,2026-01-21,NOP,DET,DET @ NOP,0,104,112,-8,216,10,35,0.222,2,0.2,1,0.2,-2,0.28,0.15,114.9,122.2,-7.3,112.5,119.1,-6.6,2,0,0,0.4,3,12,-7.3,45,31,10,0.756,7,0.7,4,0.8,3,0.818,0.684,117.3,110.1,7.3,110.7,101.3,9.4,1,0,0,0.6,9,1,7.3,41,-0.534,-0.5,-14.6,-16.0,-5,1,-0.2,0,0,0,0,0,79.3,83,8,6,0.0,11,78.4,82,9,8,0.0,10,0.9,-2,0.0,1,0,0.756,0.222,0.534,0.07407407407407407,0.47058823529411764,0.7777777777777778,0.7619047619047619,-10.777777777777779,-1.8823529411764706,6.111111111111111,8.952380952380953,-0.7037037037037037,-0.2913165266106442,-16.88888888888889,-10.834733893557424,0.7000000000000002,2.1000000000000005,-1.4000000000000004,-0.021999999999999992,0.04400000000000004,-0.06600000000000003,-2.4000000000000057,-6.599999999999994,3.1000000000000085,8.799999999999997,4.199999999999989,-5.699999999999989,0.06666666666666667,0.21951219512195122,0.26666666666666666,0.024390243902439025,-0.15284552845528454,0.13000000000000003,0.1339999999999999,-0.404
18447440,2026-01-21,NYK,BKN,BKN @ NYK,1,120,66,54,186,26,18,0.591,2,0.2,1,0.2,-4,0.739,0.429,118.0,114.8,3.2,107.1,115.7,-8.6,1,0,0,0.625,8,3,3.2,44,12,29,0.293,2,0.2,1,0.2,-2,0.273,0.316,109.0,114.3,-5.4,108.1,115.0,-6.9,1,0,0,0.2,5,11,-5.4,41,0.298,0.0,8.6,-1.7,-2,0,0.425,0,0,0,0,0,78.4,84,10,6,0.0,14,79.8,83,8,4,0.0,13,-1.4,2,0.0,0,1,0.293,0.591,-0.298,0.4166666666666667,0.7894736842105263,0.25,0.35,-0.75,7.894736842105263,-7.85,-2.2,0.16666666666666669,0.43947368421052635,7.1,10.094736842105263,-11.8,-1.5,-10.3,-0.39099999999999996,-0.09299999999999997,-0.298,-10.900000000000006,-0.9000000000000057,-0.9000000000000057,-0.7000000000000028,-10.0,-0.20000000000000284,0.18181818181818182,0.12195121951219512,0.06818181818181818,0.2682926829268293,0.059866962305986704,0.31,-0.04299999999999998,0.423
18447439,2026-01-21,BOS,IND,IND @ BOS,1,119,104,15,223,26,16,0.619,6,0.6,2,0.4,-1,0.632,0.609,116.7,110.0,6.7,116.1,107.5,8.6,1,0,0,0.429,10,2,6.7,42,10,34,0.227,4,0.4,2,0.4,-2,0.333,0.1,110.1,118.3,-8.2,110.1,115.3,-5.2,1,0,0,0.333,3,16,-8.2,44,0.392,0.2,14.9,13.8,1,0,0.096,0,0,0,0,0,77.9,84,11,6,0.0,10,78.7,85,12,2,0.0,12,-0.8,4,0.0,0,1,0.227,0.619,-0.392,0.5714285714285714,0.7,0.13793103448275862,0.42857142857142855,2.1904761904761907,11.9,-10.068965517241379,-4.5,0.4334975369458128,0.2714285714285714,12.25944170771757,16.4,1.8999999999999995,2.999999999999999,-1.0999999999999996,-0.21899999999999997,0.17300000000000001,-0.392,-0.6000000000000085,0.0,2.5,3.0,-0.6000000000000085,-0.5,0.23809523809523808,0.06818181818181818,0.047619047619047616,0.36363636363636365,0.1699134199134199,0.02300000000000002,0.233,0.532
18447438,2026-01-21,CHA,CLE,CLE @ CHA,0,87,94,-7,181,16,27,0.372,5,0.5,3,0.6,1,0.368,0.375,116.4,116.4,0.0,118.5,108.1,10.4,2,0,0,0.0,10,9,0.0,43,24,20,0.545,6,0.6,3,0.6,-1,0.56,0.526,119.6,117.8,1.8,120.6,119.7,0.9,1,0,0,0.5,7,4,1.8,44,-0.173,-0.1,-1.8,9.5,2,1,-0.5,0,0,0,0,0,79.1,85,10,4,0.0,10,78.7,83,10,8,0.0,10,0.4,-4,0.0,1,0,0.545,0.372,0.17300000000000004,0.42857142857142855,0.21428571428571427,0.56,0.5555555555555556,-0.5714285714285714,-0.21428571428571427,2.16,1.9444444444444444,-0.1314285714285715,-0.3412698412698413,-2.7314285714285713,-2.1587301587301586,10.4,-0.9,11.3,0.22799999999999998,0.05499999999999994,0.17300000000000004,2.0999999999999943,1.0,8.300000000000011,-1.9000000000000057,1.0999999999999943,10.200000000000017,0.23255813953488372,0.1590909090909091,0.20930232558139536,0.09090909090909091,0.07346723044397463,-0.007000000000000006,0.03400000000000003,-0.15800000000000003
